4AD		ACADEMY FOR TECHNICAL AND MANAGEMENT EXCELLENCE
1AY 	Acharaya Institute of Technology
1AP 	Acharaya Patha Shala(A.P.S) College of Engg.
1AA 	ACHARYS NRV SCHOOL OF ARCHITECTURE
1AO 	ACHUTHA INSTITUTE OF TECHNOLOGY
1AH		ACS COLLEGE OF ENGINEERING
4AI 	Adichunchanagiri Institute of Technology
2AV 	AGM RURAL COLLEGE OF ENGINEERING & TECHNOLOGY
1AK 	AKSHAYA INSTITUTE OF TECHNOLOGY
1AC 	Alpha College of Engineering
4AL 	ALVAS INST. OF ENGG. AND TECHNOLOGY�
1AM 	Amc Engineering College
1AR 	AMRUTHA INSTITUTE OF ENGINEERING AND MGMT. SCIENCES 
2AG 	ANGADI INSTITUTE OF TECHNOLOGY AND MGMT.
2AB 	Anjuman Institute of Technology and Management
3AE 	Appa Institute of Engineering and Technology
1AT 	Atria Institute of Technology
1AU 	Auden Technology and Mgmt. Academy
4BW 	B.G.S.Institute of Techonology
1BG 	B.N.M.Institute of Technology
1BT 	B.T.L.Institute of Technology
2BV 	B.V.Bhoomaraddi College of Engineering and Technology
4BB 	Bahubali College of Engineering
1BC 	Bangalore College of Engineering and Technology
1BI 	Bangalore Institute of Technology
1BH 	Bangalore TECHNOLOGICAL INSTITUTE
4BD 	Bapuji Institute of Engineering and Technology
1BS 	Basava Academy of Engineering
3BK 	Basava Kalyan Engineering College
2BA 	Basaveshwar Enginering College
4BP 	BEARYS INSTITUTE OF TECHNOLOGY
3BR 	Bellary Engineering College
2BL 	Bldeas College of Engineering
1BM 	Bms College of Engineering
1BE 	Bms Evening College of Engineering
1BY 	Bms Institute of Technology
1BO 	BRINDAVAN COLLEGE OF ENGG
1CK 	C Byregowda Insititute Of Technology
1CR 	C.M.R Institute of Technology
1CD 	Cambridge Institute of Technology
4CB 	Canara Engineering College
1CG 	Channa Basaveshwara Institute of Technology
1CE 	City Engineering College
4CI 	Coorg Institute of Technology
1DS 	Dayananda Sagar College of Engineering
1DB 	Don Bosco Institute of Technology
1DA 	Dr. Ambedkar Institute of Technology
4DM 	DR. M V SHETTY INSTITUTE OF TECHNOLOGY��
1CC 	Dr. Sri Sri Sri SHIVKUMAR MAHASWAMY, COLLEGE OF ENGG.�
1GV 	Dr. T Thimaiah Institute of Technology
1EC 	EAST POINT COLLEGE OF ENGG. FOR WOMEN�
1EP 	East Point College of Engineering and Technology
1EW 	East West Institute of Technology
4EK 	EKALAVYA INSTITUTE OF TECHNOLOGY
1GS 	G.S.S.Institute of Technology
1GC 	Ghousia College of Engineering
1GA 	Global Academy of Technology
4GM 	Gm.Institute of Techonology
1GD 	GOPALAN COLLEGE OF ENGINEERING�  MANAGEMENT
2GP 	GOVERNMENT ENGINEERING COLLEGE KARWAR
1SK 	Government S.K.S.J.T. Institute of Technology
1SE 	Government Sksjt Evening College
1GT 	Government Tool Room and Training Centre
4GE 	Govt. Engineering College Chamarajanagara
4GH 	Govt. Engineering College Hassan
2GO 	Govt. Engineering College Haveri
2GB 	GOVT. ENGINEERING COLLEGE HUVINHADAGALI
4GL 	Govt. Engineering College Kushal Nagar
4GK 	Govt. Engineering College Mandya
3GU 	Govt. Engineering College Raichur
1GG 	Govt. Engineering College Ramnagar
4GR 	Govt. Tool Room and Training Centre
4GW 	Gsss Institute of Engineering and Technology For Women
3GN 	Guru Nanak Dev Engineering College
2HN 	Hirasugar Institute of Technology
1HK 	Hkbk College of Engineering
1HM 	Hms Institute of Technology
1IC 	Impact College of Engineering
1II 	Islamiah Institute of Technology
2JI 	JAIN COLLEGE OF ENGINEERING
4JN 	Jawaharlal Nehru National College of Enginering
1JV 	Jnana Vikas Institute of Tencnology,
2JM 	JSS ACADEMY OF TECHNICAL EDUCATION MOURITIUS
1JS 	Jss Academy of Technicial Education
3KC 	K.C.T. Engineering College
1KS 	K.S.Institute of Technology
4KV 	K.V.G. College of Engineering
1KI 	Kalpataru Institute of Technology
1KG 	KAMMAVARI SANGH GROUP�  INSTITUTIONS
4KM 	Karavali Institute of Technology,
3KB 	Khaja Banda Nawaz College of Engineering
2KD 	KLE COLLEGE OF ENG. AND TECHNOLOGY CHIKODI�
2KE 	KLE INSTITUTE OF TECH HUBLI�
2KL 	Kle Society College of Engineering and Technology
2GI 	Kls Gogte Institute of Technology
